Subject,Country,Year,Unit,Power,Value
Number of employees in manufacturing in enterprises with less than 10 persons engaged,Spain,2012,Percentage,Units,20.439548
GDP per capita,Estonia,2011,US Dollar,Units,24501.344000
GDP per capita,Estonia,2012,US Dollar,Units,25973.317000
GDP per capita,Estonia,2013,US Dollar,Units,27449.853000
GDP per capita,Estonia,2014,US Dollar,Units,28936.530000
GDP per capita,Estonia,2015,US Dollar,Units,29259.842000
 Nursing graduates,United States,2011,Per 100 000 inhabitants,Units,65.040000
 Nursing graduates,United States,2012,Per 100 000 inhabitants,Units,66.400000
 Nursing graduates,United States,2013,Per 100 000 inhabitants,Units,63.350000
 Nursing graduates,United States,2014,Per 100 000 inhabitants,Units,62.920000
 Nursing graduates,United States,2015,Per 100 000 inhabitants,Units,63.030000
Total fertility rates,Luxembourg,2011,Number,Units,1.510000
Total fertility rates,Luxembourg,2012,Number,Units,1.570000
Total fertility rates,Luxembourg,2013,Number,Units,1.550000
Re-exported intermediates: Business services,Brazil,2011,Percentage,Units,16.220000
Ratio of pupils to teaching staff full-time(ISCED 02),OECD - Total,2013,Ratio,Units,13.620133
International students in total tertiary education,Iceland,2013,Percentage,Units,6.540294
Relative poverty rates: Working-age population (age 18-65),Portugal,2011,Ratio,Units,0.111000
Relative poverty rates: Working-age population (age 18-65),Portugal,2012,Ratio,Units,0.129000
Relative poverty rates: Working-age population (age 18-65),Portugal,2013,Ratio,Units,0.133000
Relative poverty rates: Working-age population (age 18-65),Portugal,2014,Ratio,Units,0.134000
Relative poverty rates: Working-age population (age 18-65),Portugal,2015,Ratio,Units,0.123000
Employment rates: total,Slovak Republic,2011,Ratio,Units,59.325000
Employment rates: total,Slovak Republic,2012,Ratio,Units,59.725000
Employment rates: total,Slovak Republic,2013,Ratio,Units,59.850000
Employment rates: total,Slovak Republic,2014,Ratio,Units,60.975000
Employment rates: total,Slovak Republic,2015,Ratio,Units,62.725000
Distribution,Portugal,2011,Index,Units,0.000000
Distribution,Portugal,2012,Index,Units,0.000000
Distribution,Portugal,2013,Index,Units,0.000000
Distribution,Portugal,2014,Index,Units,0.000000
Distribution,Portugal,2015,Index,Units,0.000000
Media,Denmark,2011,Index,Units,0.000000
Media,Denmark,2012,Index,Units,0.000000
Media,Denmark,2013,Index,Units,0.000000
Media,Denmark,2014,Index,Units,0.000000
Media,Denmark,2015,Index,Units,0.000000
Real value added in professional; scientific; technical; administration and support services activities,Netherlands,2011,Growth rate,Units,2.120755
Real value added in professional; scientific; technical; administration and support services activities,Netherlands,2012,Growth rate,Units,-0.114435
Real value added in professional; scientific; technical; administration and support services activities,Netherlands,2013,Growth rate,Units,-1.186286
Real value added in professional; scientific; technical; administration and support services activities,Netherlands,2014,Growth rate,Units,3.363248
Real value added in professional; scientific; technical; administration and support services activities,Netherlands,2015,Growth rate,Units,4.372127
Students with at least one computer at home: standard-error,Slovak Republic,2012,Standard-error,Units,0.565835
Students with three or more computers at home : standard-error (at school),Finland,2012,Standard-error,Units,0.684710
Re-exported intermediates: Textiles; textile products; leather and footwear,Hungary,2011,Percentage,Units,80.140000
Re-exported intermediates: Wood paper; paper products; printing and publishing,India,2011,Percentage,Units,23.040000
Business services,Indonesia,2011,Index,Units,0.579000
Business services,Indonesia,2012,Index,Units,0.579000
Business services,Indonesia,2013,Index,Units,0.579000
Business services,Indonesia,2014,Index,Units,0.579000
Business services,Indonesia,2015,Index,Units,0.579000
Value added in professional; scientific; technical; administration and support services activities,Slovenia,2011,Percentage,Units,9.408960
Value added in professional; scientific; technical; administration and support services activities,Slovenia,2012,Percentage,Units,9.463358
Value added in professional; scientific; technical; administration and support services activities,Slovenia,2013,Percentage,Units,9.529939
Value added in professional; scientific; technical; administration and support services activities,Slovenia,2014,Percentage,Units,9.839112
Value added in professional; scientific; technical; administration and support services activities,Slovenia,2015,Percentage,Units,9.892469
Employment rates: men,Denmark,2011,Ratio,Units,75.850000
Employment rates: men,Denmark,2012,Ratio,Units,75.175000
Employment rates: men,Denmark,2013,Ratio,Units,75.000000
Employment rates: men,Denmark,2014,Ratio,Units,75.775000
Employment rates: men,Denmark,2015,Ratio,Units,76.575000
Real value added in other services activities,Indonesia,2011,Growth rate,Units,8.224142
Real value added in other services activities,Indonesia,2012,Growth rate,Units,5.762880
Real value added in other services activities,Indonesia,2013,Growth rate,Units,6.403868
Real value added in other services activities,Indonesia,2014,Growth rate,Units,8.926490
Real value added in other services activities,Indonesia,2015,Growth rate,Units,8.080922
Ratio of nurses to physicians,United States,2014,Ratio,Units,4.119993
Real value added in professional; scientific; technical; administration and support services activities,European Union (28 countries),2011,Growth rate,Units,3.063331
Real value added in professional; scientific; technical; administration and support services activities,European Union (28 countries),2012,Growth rate,Units,0.585105
Real value added in professional; scientific; technical; administration and support services activities,European Union (28 countries),2013,Growth rate,Units,1.632983
Real value added in professional; scientific; technical; administration and support services activities,European Union (28 countries),2014,Growth rate,Units,3.492195
Real value added in professional; scientific; technical; administration and support services activities,European Union (28 countries),2015,Growth rate,Units,3.725232
Ratio of pupils to teaching staff full-time(ISCED 02),Spain,2013,Ratio,Units,14.766905
Annual expenditure per student in all early childhood education,Austria,2012,US Dollar,Units,7953.562600
Population growth rates,Canada,2011,Growth rate,Units,1.047361
Population growth rates,Canada,2012,Growth rate,Units,1.149856
Population growth rates,Canada,2013,Growth rate,Units,0.784132
Population growth rates,Canada,2014,Growth rate,Units,1.098026
CPI: all items non food non energy,Greece,2011,Growth rate,Units,1.876886
CPI: all items non food non energy,Greece,2012,Growth rate,Units,0.204654
CPI: all items non food non energy,Greece,2013,Growth rate,Units,-2.021564
CPI: all items non food non energy,Greece,2014,Growth rate,Units,-1.246602
CPI: all items non food non energy,Greece,2015,Growth rate,Units,-1.013319
Real value added in construction,Switzerland,2011,Growth rate,Units,0.662743
Real value added in construction,Switzerland,2012,Growth rate,Units,1.448538
Real value added in construction,Switzerland,2013,Growth rate,Units,1.870590
Real value added in construction,Switzerland,2014,Growth rate,Units,2.580028
Real value added in construction,Switzerland,2015,Growth rate,Units,0.128482
Re-exported intermediates: Food products; beverages and tobacco,Australia,2011,Percentage,Units,18.740000
Real value added in public administration; defence; education human health and social work activities,United Kingdom,2011,Growth rate,Units,-0.219810
Real value added in public administration; defence; education human health and social work activities,United Kingdom,2012,Growth rate,Units,2.094113
Real value added in public administration; defence; education human health and social work activities,United Kingdom,2013,Growth rate,Units,0.505522
Real value added in public administration; defence; education human health and social work activities,United Kingdom,2014,Growth rate,Units,1.352420
Real value added in public administration; defence; education human health and social work activities,United Kingdom,2015,Growth rate,Units,0.691287
Indices of price levels,Estonia,2011,OECD=100,Units,68.000000
Indices of price levels,Estonia,2012,OECD=100,Units,66.000000
Indices of price levels,Estonia,2013,OECD=100,Units,70.000000
Indices of price levels,Estonia,2014,OECD=100,Units,72.000000
Indices of price levels,Estonia,2015,OECD=100,Units,67.000000
Real value added in professional; scientific; technical; administration and support services activities,Austria,2011,Growth rate,Units,5.352103
Real value added in professional; scientific; technical; administration and support services activities,Austria,2012,Growth rate,Units,2.051527
Real value added in professional; scientific; technical; administration and support services activities,Austria,2013,Growth rate,Units,1.871179
Real value added in professional; scientific; technical; administration and support services activities,Austria,2014,Growth rate,Units,1.713057
Real value added in professional; scientific; technical; administration and support services activities,Austria,2015,Growth rate,Units,2.680516
Inward FDI stocks,Czech Republic,2011,US Dollar,Millions,120569.280000
Inward FDI stocks,Czech Republic,2012,US Dollar,Millions,136493.870000
Inward FDI stocks,Czech Republic,2013,US Dollar,Millions,134084.550000
Inward FDI stocks,Czech Republic,2014,US Dollar,Millions,111504.010000
Students using computers at school: Percentage,New Zealand,2012,Percentage,Units,86.420493
Re-exported intermediates: Textiles; textile products; leather and footwear,Turkey,2011,Percentage,Units,27.960000
Ratio of pupils to teaching staff and contact staff (teachers and teachers aides) full-time (ISCED 02),Japan,2013,Ratio,Units,14.480180
CPI: all items,Germany,2011,Growth rate,Units,2.075173
CPI: all items,Germany,2012,Growth rate,Units,2.008491
CPI: all items,Germany,2013,Growth rate,Units,1.504722
CPI: all items,Germany,2014,Growth rate,Units,0.906797
CPI: all items,Germany,2015,Growth rate,Units,0.514421
Total FDI Index,Japan,2011,Index,Units,0.052000
Total FDI Index,Japan,2012,Index,Units,0.052000
Total FDI Index,Japan,2013,Index,Units,0.052000
Total FDI Index,Japan,2014,Index,Units,0.052000
Total FDI Index,Japan,2015,Index,Units,0.052000
Transport,China (People's Republic of),2011,Index,Units,0.625000
Transport,China (People's Republic of),2012,Index,Units,0.625000
Transport,China (People's Republic of),2013,Index,Units,0.625000
Transport,China (People's Republic of),2014,Index,Units,0.625000
Transport,China (People's Republic of),2015,Index,Units,0.527000
Financial services,South Africa,2011,Index,Units,0.052000
Financial services,South Africa,2012,Index,Units,0.052000
Financial services,South Africa,2013,Index,Units,0.052000
Financial services,South Africa,2014,Index,Units,0.052000
Financial services,South Africa,2015,Index,Units,0.052000
 Infant mortality,Chile,2011,Deaths per 1 000 live births,Units,7.700000
 Infant mortality,Chile,2012,Deaths per 1 000 live births,Units,7.400000
Number of 15-year-old students per school computer: standard-error,Greece,2012,Standard-error,Units,1.145177
Students using computers at school: standard-error,Norway,2012,Standard-error,Units,0.695734
Ratio of pupils to teaching staff full-time(ISCED 02),Hungary,2013,Ratio,Units,11.242622
Employment rates: total,Finland,2011,Ratio,Units,69.025000
Employment rates: total,Finland,2012,Ratio,Units,69.375000
Employment rates: total,Finland,2013,Ratio,Units,68.875000
Employment rates: total,Finland,2014,Ratio,Units,68.725000
Employment rates: total,Finland,2015,Ratio,Units,68.550000
Transport,Netherlands,2011,Index,Units,0.083000
Transport,Netherlands,2012,Index,Units,0.083000
Transport,Netherlands,2013,Index,Units,0.083000
Transport,Netherlands,2014,Index,Units,0.083000
Transport,Netherlands,2015,Index,Units,0.083000
Financial services,Israel,2011,Index,Units,0.037000
Financial services,Israel,2012,Index,Units,0.037000
Financial services,Israel,2013,Index,Units,0.037000
Financial services,Israel,2014,Index,Units,0.037000
Financial services,Israel,2015,Index,Units,0.037000
Purchasing power parities,Israel,2011,National currency per US dollar,Units,3.944763
Purchasing power parities,Israel,2012,National currency per US dollar,Units,3.955358
Purchasing power parities,Israel,2013,National currency per US dollar,Units,3.839566
